コード,銘柄名,業種名,次回権利付き確定日,前日終値,予想配当利回り
1301,"Kyokuyo Co., Ltd.",Consumer Defensive,1711584000,4020.0,0.0226
1414,"SHO-BOND Holdings Co.,Ltd.",Industrials,1703721600,5897.0,0.024600001
1419,"Tama Home Co., Ltd.",Consumer Cyclical,1717027200,3675.0,0.1018
1420,Sanyo Homes Corporation,Consumer Cyclical,1711584000,730.0,0.0688
1518,"Mitsui Matsushima Holdings Co., Ltd.",Energy,1695859200,2839.0,0.0279
1605,Inpex Corporation,Energy,1703721600,2267.0,0.0327
1663,K&O Energy Group Inc.,Utilities,1703721600,2528.0,0.0135
1719,Hazama Ando Corporation,Industrials,1695859200,1195.0,0.0499
1766,Token Corporation,Real Estate,1714089600,8010.0,0.031600002
1801,Taisei Corporation,Industrials,1695859200,5289.0,0.024500001
1802,Obayashi Corporation,Industrials,1695859200,1339.5,0.031
1820,"Nishimatsu Construction Co., Ltd.",Industrials,1695859200,3760.0,0.048800003
1911,"Sumitomo Forestry Co., Ltd.",Consumer Cyclical,1703721600,3898.0,0.033099998
1925,"Daiwa House Industry Co., Ltd.",Real Estate,1695859200,4093.0,0.0349
1928,"Sekisui House, Ltd.",Consumer Cyclical,1706572800,3029.0,0.039
1934,Yurtec Corporation,Industrials,1695859200,971.0,0.0287
1938,"Nippon Rietec Co.,Ltd.",Technology,1711584000,1374.0,0.0218
1941,Chudenko Corporation,Industrials,1695859200,2460.0,0.0416
1944,Kinden Corporation,Industrials,1695859200,2165.0,0.0185
1951,"EXEO Group, Inc.",Industrials,1695859200,3095.0,0.038399998
1952,"Shin Nippon Air Technologies Co., Ltd.",Industrials,1695859200,2444.0,0.040799998
